date: Day,product_name,vendor_name,lot_name,references,Sum of inward_qty,Sum of return_qty_by_lot,Sum of net_qty,Average of unit_price_inr
2026-01-17,UHSWATCHRT,Mudra innovation,INV-KT/25-26/653,UH/INGRN/25-26/0005142,10000.0,0.0,10000.0,12.2
2026-01-16,UH0.47UFCAPTOR ,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,17000.0,0.0,17000.0,1.22976
2026-01-16,UH100KRESTOR,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,29500.0,0.0,29500.0,0.52704
2026-01-16,UH10KRESTOR,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,3000.0,0.0,3000.0,0.70272
2026-01-16,UH196KRESTOR,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,9000.0,0.0,9000.0,0.52704
2026-01-16,UH2000PF0603,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,7000.0,0.0,7000.0,5.62176
2026-01-16,UH20KRESTOR,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,13500.0,0.0,13500.0,2.59128
2026-01-16,UH20KRESTORS,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,3000.0,0.0,3000.0,0.61488
2026-01-16,UH220KRESTOR,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,9000.0,0.0,9000.0,2.6352
2026-01-16,UH300KRESTOR,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,12000.0,0.0,12000.0,0.17568
2026-01-16,UH330HMSBEAD,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,17000.0,0.0,17000.0,2.6352
2026-01-16,UH3.3KRESTORS,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,3500.0,0.0,3500.0,0.26352
2026-01-16,UH3PWIREHEADR,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,8500.0,0.0,8500.0,3.86496
2026-01-16,UH3PWTB78171,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,8000.0,0.0,8000.0,16.6896
2026-01-16,UH47NFVCAPTOR,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,6000.0,0.0,6000.0,1.22976
2026-01-16,UH4.99KRESTOR,"Swift Electrocomp Solutions Pvt Ltd.,",SESPL25262589,UH/INGRN/25-26/0005196,50000.0,0.0,50000.0,0.6
2026-01-16,UH50VCAPACTOR,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,13000.0,0.0,13000.0,1.05408
2026-01-16,UH634KRESTOR,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,9000.0,0.0,9000.0,0.52704
2026-01-16,UH66.5KRESTOR,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,9000.0,0.0,9000.0,0.52704
2026-01-16,UHANTNE2.4HZBT,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,8500.0,0.0,8500.0,21.78432
2026-01-16,UHCAP16V2200PF,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,6000.0,0.0,6000.0,0.79056
2026-01-16,UHCAPACTOR1UF,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,56000.0,0.0,56000.0,4.12848
2026-01-16,UHCAPSMT1PF50,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,9000.0,0.0,9000.0,1.14192
2026-01-16,UHCAPTOR022UF,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,13000.0,0.0,13000.0,0.61488
2026-01-16,UHCAPTOR1000PF,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,13000.0,0.0,13000.0,0.70272
2026-01-16,UHCAPTOR680PF,MOUSER ELECTRONIC,88148935,UH/INGRN/25-26/0005154,13000.0,0.0,13000.0,3.0744
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000421,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000422,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000423,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000424,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000425,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000426,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000427,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000428,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000429,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000430,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000431,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000432,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000433,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000434,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000435,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000436,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000437,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000439,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000440,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000441,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000443,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000444,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000445,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000450,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000451,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000452,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000453,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000455,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000456,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000457,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000458,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000459,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000460,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000462,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000463,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000464,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000465,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAO10,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-WB-AA10-0000466,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
